customer_state,total_orders,late_orders,late_rate,avg_delivery_days,avg_order_value,late_rate_pct
AC,80,3,0.0375,20.6375,196.512125,3.75
AL,397,95,0.23929471032745592,24.04030226700252,188.1325944584383,23.93
AM,145,6,0.041379310344827586,25.986206896551725,144.1875172413793,4.14
AP,67,3,0.04477611940298507,26.73134328358209,187.45626865671642,4.48
BA,3256,457,0.14035626535626536,18.86640049140049,142.96402948402948,14.04
CE,1279,196,0.1532447224394058,20.817826426896012,163.9154808444097,15.32
DF,2080,147,0.07067307692307692,12.509134615384616,134.1355576923077,7.07
ES,1995,244,0.12230576441102757,15.331829573934836,126.97793483709273,12.23
GO,1957,160,0.08175779253960143,15.15074092999489,138.4340623403168,8.18
MA,717,141,0.19665271966527198,21.11715481171548,154.1155509065551,19.67
MG,11354,637,0.056103575832305796,11.542187775233398,131.27687775233397,5.61
MS,701,81,0.11554921540656206,15.191155492154065,146.14135520684735,11.55
MT,886,60,0.06772009029345373,17.59367945823928,161.50989841986456,6.77
PA,946,117,0.12367864693446089,23.316067653276956,174.35827695560252,12.37
PB,517,57,0.1102514506769826,19.95357833655706,191.52473887814313,11.03
PE,1593,172,0.10797237915881984,17.965473948524796,151.0411236660389,10.8
PI,476,76,0.15966386554621848,18.993697478991596,172.20046218487394,15.97
PR,4923,246,0.049969530773918344,11.52671135486492,129.6724395693683,5.0
RJ,12350,1664,0.13473684210526315,14.848582995951418,135.28507287449392,13.47
RN,474,51,0.10759493670886076,18.824894514767934,166.21424050632913,10.76
RO,243,7,0.02880658436213992,18.91358024691358,171.5274074074074,2.88
RR,41,5,0.12195121951219512,28.975609756097562,172.13341463414633,12.2
RS,5344,382,0.07148203592814371,14.819236526946108,132.1350261976048,7.15
SC,3546,346,0.09757473209249859,14.475183305132544,136.09865200225607,9.76
SE,335,51,0.15223880597014924,21.029850746268657,163.66328358208955,15.22
SP,40494,2387,0.05894700449449301,8.298093544722676,120.76831950412407,5.89
TO,274,35,0.12773722627737227,17.226277372262775,164.68441605839416,12.77
