"date","ym","order_count","late_count","late_rate","total_revenue","avg_delivery_days","late_rate_pct"
"2016-10-01","2016-10","265","3","0.011320754716981131","39916.11","19.135849056603774","1.13"
"2017-01-01","2017-01","750","23","0.030666666666666665","105280.37","12.092","3.07"
"2017-02-01","2017-02","1653","53","0.03206291591046582","215214.25","12.60617059891107","3.21"
"2017-03-01","2017-03","2546","142","0.05577376276512176","336360.78","12.395522388059701","5.58"
"2017-04-01","2017-04","2303","181","0.07859313938341293","315463.98","14.35258358662614","7.86"
"2017-05-01","2017-05","3545","128","0.03610719322990127","463819.86","10.760507757404795","3.61"
"2017-06-01","2017-06","3135","121","0.03859649122807018","397144.19","11.50622009569378","3.86"
"2017-07-01","2017-07","3872","133","0.034349173553719005","472039.52","11.131198347107437","3.43"
"2017-08-01","2017-08","4193","139","0.03315048891008824","540339.28","10.700691628905318","3.32"
"2017-09-01","2017-09","4150","216","0.052048192771084335","572006.68","11.400722891566264","5.2"
"2017-10-01","2017-10","4478","237","0.05292541313086199","616887.6900000001","11.416927199642698","5.29"
"2017-11-01","2017-11","7288","1043","0.1431119648737651","950685.61","14.699506037321624","14.31"
"2017-12-01","2017-12","5513","462","0.08380192272809722","704359.62","14.936695084346091","8.38"
"2018-01-01","2018-01","7069","464","0.06563870420144292","901821.45","13.6372895741972","6.56"
"2018-02-01","2018-02","6555","1048","0.15987795575896263","808051.81","16.508619374523263","15.99"
"2018-03-01","2018-03","7003","1496","0.21362273311437954","926775.1900000001","15.867485363415678","21.36"
"2018-04-01","2018-04","6798","361","0.05310385407472786","927772.93","11.048543689320388","5.31"
"2018-05-01","2018-05","6749","556","0.08238257519632539","924662.75","10.959105052600385","8.24"
"2018-06-01","2018-06","6096","83","0.013615485564304463","813967.29","8.774442257217848","1.36"
"2018-07-01","2018-07","6156","276","0.04483430799220273","819513.9","8.503736192332683","4.48"
"2018-08-01","2018-08","6351","660","0.10392064241851677","798873.66","7.286411588726184","10.39"
